
Mittlerer Ring
   48.12619 11.52178
   48.12660 11.52198
   48.12681 11.52294
   48.12844 11.52489
   48.12982 11.52740
   48.13140 11.53039
   48.13273 11.53270
   48.13370 11.53395
   48.13988 11.53494

Landsberger Strasse
   48.13988 11.53494
   48.13767 11.56485



asd00
   48.19086 11.84835
   48.19994 11.82326
   48.20052 11.81262
   48.19685 11.81077
   48.19606 11.80661
   48.19543 11.79990
   48.19814 11.79848
   48.19794 11.79663
   48.18799 11.77520
   48.18503 11.77346
   48.17644 11.75239
   48.17196 11.75310

B471
   47.89445 11.72527
   47.87574 11.71836
   47.87655 11.70091
   47.86567 11.69040
   47.86398 11.68480
   47.86767 11.67038
   47.86747 11.66016
   47.87134 11.65126
   47.85876 11.62796
   47.85801 11.61675
   47.84889 11.59648
   47.85426 11.59109
   47.85878 11.57682
   47.85898 11.57109
   47.85619 11.56940
   47.85595 11.56661
   47.85923 11.57279
   47.85471 11.58837
   47.86119 11.58525
   47.87949 11.58961
   47.89207 11.58817
   47.89449 11.58362
   47.90908 11.57521
   47.91633 11.58092
   47.92831 11.57414
   47.93513 11.57581
   47.93914 11.57324
   47.95539 11.58257
   47.95886 11.58714
   47.96320 11.61976
   47.96833 11.63066
   47.97172 11.65385
   47.97807 11.65124
   47.98584 11.65815
   47.99594 11.65961
   48.00789 11.68823
   48.02519 11.69600
   48.03654 11.71381
   48.04624 11.70252
   48.06008 11.69769
   48.06521 11.69269
   48.06579 11.69542
   48.07321 11.69334
   48.07808 11.70889
   48.07703 11.71533
   48.09108 11.72243
   48.11269 11.74396
   48.14067 11.73578
   48.15722 11.72164
   48.16084 11.73076
   48.16797 11.73559
   48.17179 11.75475
   48.17580 11.75432
